region,network,x,y,z,accuracy,idiff
R_5L,Somatomotor,12.461,-43.928,69.801,0.6858,0.46653
R_24dd,Somatomotor,8.241,-17.373,49.838,0.5133,0.29352
R_24dv,Somatomotor,10.705,-4.913,45.365,0.4661,0.23237
R_7AL,Somatomotor,19.552,-50.714,63.244,0.6239,0.43742
R_SCEF,Cingulo-Oper,7.204,4.133,56.573,0.4794,0.21895
R_6ma,Cingulo-Oper,18.504,4.681,63.018,0.5737,0.35685
R_7Am,Cingulo-Oper,8.580,-58.651,60.000,0.5885,0.33408
R_7PL,Language,13.594,-70.234,53.245,0.5900,0.33774
R_7PC,Somatomotor,32.757,-47.584,59.205,0.6711,0.45232
R_LIPv,Visual2,27.396,-55.403,51.141,0.5501,0.32135
R_VIP,Visual2,19.527,-60.633,59.113,0.6254,0.42276
R_MIP,Language,24.083,-63.101,45.135,0.4882,0.24675
R_1,Somatomotor,43.721,-24.207,54.956,0.5575,0.31086
R_2,Somatomotor,35.361,-32.841,50.244,0.5767,0.33423
R_3a,Somatomotor,31.550,-21.500,44.885,0.5369,0.28201
R_6d,Somatomotor,35.684,-12.142,61.291,0.5516,0.29126
R_6mp,Somatomotor,15.911,-11.987,65.051,0.5221,0.29154
R_6v,Somatomotor,57.148,3.552,30.122,0.6534,0.45282
R_p24pr,Cingulo-Oper,5.414,-2.920,40.229,0.5133,0.22160
R_33pr,Cingulo-Oper,4.462,11.067,28.976,0.5575,0.33399
R_a24pr,Cingulo-Oper,5.739,16.467,32.772,0.5531,0.27795
R_p32pr,Cingulo-Oper,10.875,13.586,38.888,0.5472,0.35659
R_a24,Posterior-Mu,6.797,37.233,-0.268,0.7581,0.50918
R_d32,Posterior-Mu,10.589,36.885,24.177,0.7773,0.51212
R_8BM,Frontopariet,6.509,27.818,45.221,0.5619,0.31499
R_p32,Posterior-Mu,11.469,43.849,-1.680,0.8097,0.53736
R_10r,Posterior-Mu,8.398,46.901,-8.288,0.6829,0.46107
R_47m,Posterior-Mu,34.125,30.219,-15.034,0.8466,0.56818
R_8Av,Posterior-Mu,37.573,19.791,45.977,0.5634,0.30901
R_8Ad,Posterior-Mu,23.292,26.229,42.857,0.5693,0.30181
R_9m,Posterior-Mu,8.788,50.569,20.417,0.7684,0.51810
R_8BL,Posterior-Mu,11.891,37.848,48.980,0.6091,0.39567
R_9p,Posterior-Mu,19.248,45.241,34.005,0.6091,0.37478
R_10d,Posterior-Mu,10.847,63.033,6.255,0.6018,0.39975
R_8C,Frontopariet,38.392,18.146,34.434,0.5885,0.33969
R_44,Default,51.472,17.692,12.052,0.8038,0.56570
R_45,Default,49.856,27.009,3.251,0.8614,0.57719
R_47l,Posterior-Mu,45.498,31.684,-11.404,0.8732,0.57169
R_a47r,Frontopariet,37.614,47.714,-6.162,0.8274,0.55508
R_6r,Cingulo-Oper,49.670,7.158,16.346,0.7035,0.49907
R_IFJa,Default,40.308,17.435,22.525,0.5516,0.35488
R_IFJp,Frontopariet,36.616,7.716,26.669,0.5221,0.29753
R_IFSp,Default,45.447,26.172,18.484,0.6032,0.42360
R_IFSa,Frontopariet,45.705,34.450,6.099,0.7950,0.54541
R_p9-46v,Frontopariet,43.650,30.677,26.636,0.6165,0.42664
R_46,Cingulo-Oper,33.616,34.537,29.478,0.6342,0.43722
R_a9-46v,Frontopariet,39.098,47.419,10.991,0.7743,0.52993
R_9-46d,Cingulo-Oper,27.857,43.430,22.612,0.6785,0.46339
R_9a,Posterior-Mu,18.726,57.282,20.895,0.6814,0.46628
R_10v,Posterior-Mu,5.520,47.828,-15.705,0.7625,0.51553
R_a10p,Frontopariet,25.083,56.998,-6.670,0.6652,0.47622
R_10pp,Posterior-Mu,13.390,57.484,-15.294,0.6726,0.47360
R_11l,Frontopariet,24.780,42.637,-14.484,0.7080,0.50152
R_13l,Frontopariet,21.677,24.716,-19.128,0.7330,0.57131
R_OFC,Posterior-Mu,10.354,30.987,-22.817,0.7153,0.48781
R_47s,Posterior-Mu,31.176,21.031,-17.450,0.8407,0.57963
R_LIPd,Language,30.432,-53.873,43.008,0.5560,0.27514
R_6a,Language,26.488,-1.583,50.343,0.5103,0.27775
R_i6-8,Frontopariet,33.050,11.603,51.768,0.5265,0.30244
R_s6-8,Frontopariet,20.366,18.317,55.500,0.5988,0.30546
R_43,Cingulo-Oper,56.443,-1.742,9.883,0.6003,0.41827
R_OP4,Somatomotor,57.252,-13.579,15.873,0.5531,0.35266
R_OP1,Somatomotor,44.057,-21.722,18.261,0.5000,0.23800
R_OP2-3,Somatomotor,38.434,-16.424,18.378,0.5383,0.28343
R_52,Auditory,38.523,-23.240,2.334,0.5162,0.26270
R_RI,Auditory,40.625,-32.287,17.349,0.5118,0.22507
R_PFcm,Cingulo-Oper,47.527,-29.975,22.193,0.5605,0.32870
R_PoI2,Cingulo-Oper,39.282,-5.441,-0.482,0.6637,0.47156
R_TA2,Auditory,51.987,-2.339,-7.232,0.5649,0.40008
R_FOP4,Cingulo-Oper,37.674,13.590,8.335,0.8186,0.54865
R_MI,Cingulo-Oper,37.088,7.336,2.874,0.8201,0.55320
R_Pir,Orbito-Affec,33.357,3.935,-18.436,0.8628,0.56708
R_AVI,Frontopariet,32.671,23.910,-3.257,0.9071,0.59035
R_AAIC,Orbito-Affec,33.330,13.921,-12.290,0.8835,0.57894
R_FOP1,Cingulo-Oper,47.977,2.723,5.920,0.6298,0.44129
R_FOP3,Cingulo-Oper,35.241,5.781,11.596,0.7080,0.48758
R_FOP2,Somatomotor,40.334,-3.813,14.902,0.6357,0.42898
R_PFt,Language,51.469,-26.360,38.835,0.6519,0.45290
R_AIP,Language,35.601,-40.998,41.428,0.5782,0.32939
R_EC,Posterior-Mu,21.965,-13.624,-26.965,0.6549,0.48430
R_PreS,Posterior-Mu,20.346,-34.057,-8.410,0.4661,0.19765
R_H,Posterior-Mu,30.818,-27.285,-14.704,0.5900,0.37224
R_ProS,Visual1,20.451,-50.504,0.852,0.4690,0.23361
R_PeEc,Ventral-Mult,29.335,-11.282,-32.363,0.8304,0.56261
R_STGa,Default,51.328,9.508,-18.856,0.7124,0.52814
R_PBelt,Auditory,57.170,-20.048,5.883,0.5841,0.39305
R_A5,Default,61.416,-18.262,-2.681,0.6047,0.40685
R_PHA1,Posterior-Mu,22.434,-34.676,-16.006,0.5369,0.25769
R_PHA3,Language,35.060,-37.522,-16.535,0.6003,0.41632
R_STSda,Default,52.403,-7.453,-14.954,0.7404,0.49991
R_STSdp,Default,48.265,-30.153,-3.482,0.6032,0.37208
R_STSvp,Posterior-Mu,58.070,-33.607,-6.802,0.6903,0.51373
R_TGd,Posterior-Mu,40.379,9.371,-32.742,0.8997,0.58273
R_TE1a,Posterior-Mu,60.104,-7.765,-24.659,0.7286,0.52140
R_TE1p,Frontopariet,60.331,-43.987,-12.562,0.7109,0.50852
R_TE2a,Posterior-Mu,53.820,-20.102,-29.561,0.7640,0.56347
R_TF,Ventral-Mult,41.297,-22.307,-26.919,0.7891,0.56476
R_TE2p,Language,47.029,-41.663,-19.721,0.6917,0.52564
R_PHT,Language,57.409,-53.271,-4.095,0.7035,0.48894
R_PH,Visual2,47.283,-61.488,-10.945,0.5988,0.36381
R_TPOJ1,Default,51.328,-42.960,7.281,0.6283,0.44004
R_TPOJ2,Dorsal-atten,52.242,-58.709,6.942,0.6534,0.45652
R_TPOJ3,Dorsal-atten,41.023,-63.286,13.687,0.5398,0.34095
R_DVT,Visual1,19.652,-68.005,29.931,0.5103,0.30067
R_PGp,Language,40.961,-77.959,21.773,0.6195,0.36838
R_IP2,Frontopariet,42.158,-46.441,39.749,0.5959,0.33058
R_IP1,Frontopariet,34.582,-63.959,42.460,0.5870,0.30618
R_IP0,Language,32.974,-72.323,27.251,0.5324,0.32010
R_PFop,Cingulo-Oper,59.548,-21.363,27.521,0.6947,0.47590
R_PF,Cingulo-Oper,56.844,-33.236,34.159,0.6755,0.46029
R_PFm,Frontopariet,51.689,-49.266,37.889,0.5737,0.32101
R_PGi,Posterior-Mu,46.726,-57.208,22.844,0.5870,0.40489
R_PGs,Posterior-Mu,43.638,-65.372,37.325,0.5516,0.26269
R_V6A,Visual2,21.200,-81.295,41.489,0.5059,0.21341
R_VMV1,Visual2,19.536,-52.976,-7.861,0.4749,0.24834
R_VMV3,Visual2,29.144,-59.619,-9.943,0.4912,0.23212
R_PHA2,Posterior-Mu,32.539,-35.185,-15.034,0.6091,0.40785
R_V4t,Visual2,44.955,-77.206,-2.026,0.6003,0.37281
R_FST,Visual2,46.283,-63.008,-2.673,0.6209,0.43030
R_V3CD,Visual2,33.283,-82.594,13.799,0.5413,0.27986
R_LO3,Visual2,44.638,-77.133,8.821,0.6519,0.44554
R_VMV2,Visual2,29.576,-53.216,-7.086,0.4897,0.20888
R_31pd,Posterior-Mu,11.833,-51.671,35.523,0.4808,0.16690
R_31a,Posterior-Mu,6.813,-42.575,40.964,0.5044,0.20864
R_VVC,Visual2,30.319,-47.786,-18.425,0.5560,0.28985
R_25,Posterior-Mu,4.934,20.355,-13.053,0.7699,0.56007
R_s32,Posterior-Mu,6.851,32.728,-12.531,0.6239,0.41439
R_pOFC,Orbito-Affec,15.208,13.104,-18.068,0.6917,0.52651
R_PoI1,Cingulo-Oper,38.936,-12.951,-5.393,0.5841,0.34354
